School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
5dfD9RC7yEW2yeI86wwqqC,King s Kites,"Luce Bay, Scotland (UK)",6kwKOGwMQPEwWQOcdNNkX4,Distance less than 100km,0.367912395,"Millisle, Ireland",6NwxsF1ytnmpLECTsxD2yt,Distance less than 100km,42.76946565,"Ballywalter, Ireland",4AejQiknZ8EoK9RFKpdBwR,Distance less than 100km,44.99227995
2WGV2v6glqyeEE42k4Eu0Y,Kite Sardegna,"Sardinia / Porto Botte North, Italy",Osl23xKlZin7ucB4nkqUK,Distance less than 100km,0.028204469,"Sardinia / Porto Botte South, Italy",sbCgm5fkyIjW7FinzD26s,Distance less than 100km,2.310397443,"Sardinia / Sant Antioco South, Italy",37AEH3XpyKmLAAsHE6mUbU,Distance less than 100km,9.056128969
2wAphPcAsY8WE6w4M8aIy0,Acapulco Kitesurf,"Acapulco Beach, Mexico",135VrD3VTPv7u3nzLRHWID,Distance less than 100km,1.000018712,"Bonfil, Mexico",1jwMhHzjTZpoZwL6efHGbd,Distance less than 100km,4.317731266,"Barra Vieja, Mexico",3QnHrkKQeq6FWVA3ykUymV,Distance less than 100km,16.92312234
4enDZjscAMgCaO4QyYMC6s,kitesurf school sicily,"Sicily / Mondello, Italy",7GZBnKwdVdqg8FAhj99e2Y,Distance less than 100km,56.38659931,"Sicily / Capo D'Orlando West, Italy",68rJYJypbkH8J9nk2X4Bmk,Distance less than 100km,73.21465329,"Sicily / Capo D'Orlando East, Italy",23oEf9zmWqM4APNCSXZY8l,Distance less than 100km,73.5851432
1yRtUiPmRSq0usiuiI8cgI,Kite School Tarifa,"Tarifa, Spain",3jN8wUImM1U9XJ0ISMEfwa,Distance less than 100km,0.542329847,"Playa Chica, Spain",54dZKn279hjY2Rp8wGAbST,Distance less than 100km,0.868321958,"La Jaima, Spain",3jV90vfDLgxsmjRFx6usWm,Distance less than 100km,1.350135672
2VJny7kn7GgUm2QGWYeq4G,Mr Lee kitesurf school Mui Ne,"Mui Ne Beach, Vietnam",15iJWho5F7jylCG8nvP1zR,Distance less than 100km,1.621437363,"Mui Ne Bay, Vietnam",6WIJGwcetp2zCwTWBjUfM9,Distance less than 100km,6.204237422,"Phan Thiet Jetties, Vietnam",HVKtDR17SiUurPDKLTF0K,Distance less than 100km,8.210249834
nWlL7oj6i4cAqwcMaaisI,Line Up Fuerteventura,"Fuerteventura / Flag Beach, Canary Islands",2zkC4QlaQWWNbipCcBDOot,Distance less than 100km,2.570234513,"Fuerteventura / Shooting Gallery, Canary Islands",6m8PeXggsJZTECJOMO2TYs,Distance less than 100km,2.882756339,"Fuerteventura / Mejillones, Canary Islands",6ztKyt9S26o81Fl7xHaCr1,Distance less than 100km,4.510858567
6fTCI5mDfr14Y3hKsdCjgt,Kitesurf BVI,"Sandy Spit, Virgin Islands (British)",2JcsY2MTJMHSfzNkW0ZK6d,Distance less than 100km,15.42947433,"St. John / Johns Folly Bay, Virgin Islands (USA)",2CtROgDML8QK3yATH1BKj7,Distance less than 100km,19.23779228,"Virgin Gorda / North Sound, Virgin Islands (British)",1XbjLl6Da7lGzyWXZhzImJ,Distance less than 100km,23.11795767
2kUo6hN7tOHQfqhln1290R,Island Winds,"Elbow Beach, Bermuda",6gTRAHj3ZxHs5Y6HSGlweC,Distance less than 100km,4.678477842,"Somerset Long Bay, Bermuda",67KMOZlGf9M8Ad7we0iD0Y,Distance less than 100km,11.38755778,"Daniel's Head, Bermuda",4W5A0ZCIq5gcQ14NexgX1X,Distance less than 100km,12.02561327
1RlLGkwTIBQydFeV3qLFLo,Kite N'Go,"Sidi Fredj, Algeria",O6Dwt1Mimu6Fw2E0MwPQs,Distance less than 100km,0.474877637,"Deca Plage, Algeria",4OsluwJvSgDpdvEmWyfl1E,Distance less than 100km,42.49086666,,,,
