ID,NAME,SLUG,LAT,LON
2BWgYspFNuMym06wcO0ocE,Cubakiters,cubakiters,23.179858,-81.1885293
1VFcLM3kjuwECk2IcGkWwG,St.Kitts Kiteboarding,stkittswatersports,17.2355845,-62.62766239999999
4wUCXSLyw0AGWcc6mMcu40,Kunduchi Kite School,kunduchi-kite-school,-6.792354,39.20832840000003
1ZDsAqNAgkU6UogsCQuEYG,Mayabari Kitesurfing,mayabari,36.062698,-5.652003400000001
3bSHBRBwUUoQWyEugOaOCe,Kitepoint Sao Seba,kitepoint-sao-seba,-23.7783806,-45.4004368
5eZ2DN69zOs0EgeieceW2C,Kite Zone Dubai,kitezonedubai,25.1836741,55.2245122
vgG1leJafuKYWauY08ggw,Bora Kite School,borakiteschool,36.83294,-2.44713
2OpXcKmAIo4ecmSgqaumKi,Guyakite,guyakite,4.92242,-52.3134531
1BwqgTLtH6QuSY8wegYkKy,Caribean Kite School,caribean-kiteschool,15.8704938,-61.57893009999998
1vo7Ycgv8EEO68kASaIeuM,Kitesurf Madagascar Babaomby,kitesurfmadagascar,-12.189281,49.357838
P0haRZdAqqGm2i0yySQi8,Sensei de Kite,senseidekite,37.1503475,-1.82572
5PZoHssAusueqgQ8EIW26g,Kite Boarding Asia Chumphon,kiteboardingasia-chumpon,10.4930496,99.1800199
bO9VdXMoRqUs6oooAq2UQ,Whãnau Elements,whanauelements,39.1562393,17.1134198
V7ClEamnFsZOkDPIJiJR8,Kitesurf Case en Falafy,kitesurf-case-en-falafy,-12.2494307,49.341434299999946
PXPqUVgfAW0uUca4ySceY,Kung Fu Kite,kungfukite,42.9945323,-3.8593436
3N8vv2Bi6Qc48GUUSqimAU,MBK Kitesurf,mbk-kitesurf,50.6983754,-1.9330109
1MHORcD11W66CWo2wowWWe,Windstalkers Naples Florida kiteboarding,naplesfloridakiteboarding,26.1546116,-81.79628000000002
53AFxC15jiOgYgeaiaymWw,Essaouira kitesurf,essaouirakitesurf,31.5043488,-9.763603
3j3tCgLArCcyYkaaiMeaqo,Dakhla Evasion,dakhla-evasion,23.91401555302934,-15.77803302051393
zHmwj7eCfAYiwA684MQOY,Kiteessence,kiteessence,53.34951599999999,-6.24338
2gbRmRsn9a8I8GEcgK2e6O,ASD Abkite,abkite,41.869543,12.485621
4vZEOXRniw2EUmQMUOEYaI,Area Kiteboarding,areakiteboarding,36.6712429,-4.467115199999999
2kzVce9bVMPo8Ug4NjgRM,KiteSurfing Kings,kitesurfing-kings,50.8333052,-0.16296560000000682
1DpXKOCZHyu2YSM0YygmAC,Maximum Glisse,maximumglisse,46.8878271,-2.138669
2OZE3dAzXWYCmYE0aomUQO,Flyway,flyway,44.75757249999999,-1.1329838
jaEtd1Y1wIGGQEOaqqUO0,Carolina kitesurfing,carolinakitesurfing,34.6640909,-77.03546449999999
2KoScfY6dlMvBxWgkgQGYC,Stevokitesurf,stevokitesurf,51.0998315,2.5810802999999396
6GtXN8ySHuKSYkYKw24ySE,Xtremspots,xtremspot,40.6335608,0.7449640000000001
3PhoZgoyghlOmacbFDVdpW,Myrtle Beach Kiteboarding School,myrtle-beach-kiteboarding-school,33.6890603,-78.88669429999999
5dmDAVQYHmUgCO8K0m2sg4,Kite Boarding Asia Krabi,kiteboardingasia-krabi,8.0862997,98.9062835
62WvMYGK08u0UUSqgIQeQY,All Out Kiteboarding,aokwatersports,31.9929109,-80.84854709999998
BBwrUNXh28aIg8IO6skay,Kite A.Traction,kiteatraction,47.2078294,-2.1570232000000003
3qNQboVVPWA8Kcw48qEWuW,Kite.NNov,kite-nnov,56.73890030000001,43.2587972
5h59nzoQ5yS0A2QMiEgmGO,Skywalk Kiteboarding,skywalkkiteboarding,40.96049439999999,-72.1892314
49DlnLC5AcS4SGWu0kmem4,Kiteboarding Japan,kiteboarding-japan,34.758125799999995,137.70533390000003
6VK9kOTfUsgAOWkK46ccYu,Vetratoriya,vetratoria,46.679565,37.7383409
1HIcu1Z1puMmkUSQ0cG600,Bahia Water Sports Center,bahiawatersportscenter,28.0414543,-16.542625
5PXx5OSbXq2AW2ei4wK2MU,Es Caló Surf School,surfschool-escalo,39.5001887,2.7494032
3UPY5shnPGKaAkeo0eGiyc,Kitesurfing Zeeland,kitesurfingzeeland,51.4352905,4.1036353
4jvdvUXGGkCO0sQU6yQSQG,Kite Thailand,kiteboardingasia-pran-buri,12.3563844,99.9974084
3PmntPHxVz91rklGclYJ6,Bigdayz Kitting - Switzerland,bigdayz-kitting-swtizerland,46.4107,10.02660000000003
447e5w7WreawAAyWQWMaEI,Airzone Kitesurf School,kitesurfnz,-34.8923625,173.3129954
AhyJTYm7IxlUbnTHNIOUQ,Kitesurf Chile,kitesurf-chile,-33.9978978,-71.8334145
4NfLVD6PVmw0ykmwQusYcs,Cursos Kite Galicia,cursoskitegalicia,42.4771234,-8.9224484
3rx8asx6I0Gg6e06gMmCye,The Kite Bar,thekitebar,38.03551059999999,-121.8834327
1kGDfZEwsEHTGlsSWxLTSj,Kitesafe,kitesafe,52.37028489999999,4.530628500000034
4EvemIJIgwq1P1GmfQQmKk,Walvis Bay Kite Surf Center,walvis-bay-kite-surf-center,-22.9584,14.50575
1ZfG10bCy0oa3eDwDusOys,Kite Life,kite-life,46.48252,30.7233
vpHLDQzoXQq74pnOl2ShC,Kiteam,kiteam,46.36924,35.34163
1scuuIdJ8tVKg1qCHFBfFZ,10 Uzlov,10-uzlov,45.31846757753802,33.028126653042
2YmVgmij5UXZoRZtaTBnJk,Cocos Keeling Islands,cocos-keeling-islands,-12.1641,96.87095
7oMqQz0pUkPQdYquICMdA5,Aitutaki Kite School,aitutaki-kite-school,-18.8579,-159.785
2QqAjUtebZqpN0krBfb8DS,Kitesurf Khobar,kitesurf-khobar,26.29715633235447,50.66618999023437
173v2Zt4iwJOqc6V0PGHnY,Vanuatu Kite Surfing,vanuatu-kite-surfing,-17.7691,168.3039
1feWGDZZqq5xE9S2usCHLt,Kite Vanuatu,kite-vanuatu,-17.7332,168.3273
2BiVtZPC8IU2iOWGTL3kHh,Aquaclubdiving Djibouti,aquaclubdiving-djibouti,11.59541,43.13264
5pQYvIKaYmAjqGP4hCdfUG,Kitesurf Jamaica,kitesurf-jamaica,18.48426,-77.6023
